axata	axa~ta
ubaliyaka	ubaliyan~ka
ulaka	ula=ka
uldeke	ulde=ke
undaraka	undara=ka
unggata	ungga~ta
uraka	ura=ka
wasika	wasi=ka
wengke	we=ngke
wempi	we=mpi
wesike	wesi=ke
yoyohoho	yoyoho=ho
yoyohoko	yoyoho=ko
yumpi	yu=mpi
yungke	yu=ngke
xahvraka	xahvra=ka
xaraka	xara=ka
xereke	xere=ke
saharaka	sahara=ka
sangka	sa=ngka
sampi	sa=mpi
sangsaraka	sangsara=ka
saraka	sara=ka
sebdeke	sebde=ke
senggete	sengge~te
sengseke	sengse=ke
sicaka	sica=ka
sidaraka	sidara=ka
soroko	soro=ko
sosorcoko	sosorco=ko
sosoroko	sosoro=ko
suksureke	suksure=ke
sumaka	suma=ka
sungke	su=ngke
sureke	sure=ke
suruke	suru=ke
