axata	axa~ta
axuka	axu=ka
ahvta	ahvn~ta
ahasi	aha~si
aifuka	aifu=ka
akxaka	akxa=ka
aksaka	aksa=ka
aldaraka	aldara=ka
algika	algi=ka
amata	ama~ta
ambuta	ambu~ta
amjita	amji~ta
amuta	amu~ta
antahasi	antaha~si
arsuka	arsu=ka
badaraka	badara=ka
baha	baha=
baisu	bai=su
bakjaka	bakja=ka
baktaka	bakta=ka
bangka	ba=ngka
babandara	ba=ba=ndara
bangka	ba=ngka
babandara	ba=ba=ndara
bayaka	baya=ka
bexeke	bexe=ke
bebeliyeke	bebeliye=ke
bebereke	bebere=ke
beikuwerehe	beikuwere=he
beikuwereke	beikuwere=ke
bejilehe	bejile=he
bejileke	bejile=ke
bektereke	bektere=ke
bembereke	bembere=ke
bereke	bere=ke
biljaka	bilja=ka
bilteke	bilte=ke
bisu	bi=su
bisire	bi=sire
bisaka	bisa=ka
bisarapi	bisara=pi
bolgoho	bolgo=ho
bolgoko	bolgo=ko
bolhoko	bolho=ko
boloko	bolo=ko
bongko	bo=ngko
bondoro	bo=ndoro
bonme	bo=nme
bombornoho	bomborno=ho
bombornoko	bomborno=ko
bujaka	buja=ka
buktaka	bukta=ka
buktaka	bukta=ka
busubuke	busubu=ke
cakjaka	cakja=ka
cangka	ca=ngka
ciksika	ciksi=ka
ciktaraka	ciktara=ka
cilcika	cilci=ka
colgoroko	colgoro=ko
contohojoho	contohojo=ho
contohojoko	contohojo=ko
daraka	dara=ka
darika	dari=ka
debeke	debe=ke
dehemete	deheme~te
dekdeke	dekde=ke
dekjike	dekji=ke
delereke	delere=ke
deote	deo~te
deotese	deo~tese
derike	deri=ke
desereke	desere=ke
dosika	dosi=ka
duheke	duhe=ke
dukdureke	dukdure=ke
dukseke	dukse=ke
duleke	dule=ke
dulendere	dule=ndere
dulepi	dule=pi
exete	exe~te
ebeke	ebe=ke
ebereke	ebere=ke
edeke	ede=ke
efute	efu~te
eigete	eigen~te
ejete	ejen~te
eldeke	elde=ke
emete	eme~te
eshete	eshen~te
esike	esi=ke
eyute	eyun~te
faraka	fara=ka
farapi	fara=pi
farampi	fara=mpi
fehereke	fehere=ke
fereke	fere=ke
fifaka	fifa=ka
fiheke	fihe=ke
fiseke	fise=ke
fiyasaka	fiyasa=ka
fodoko	fodo=ko
fodoroko	fodoro=ko
fongsoko	fongso=ko
fosoko	foso=ko
fudaraka	fudara=ka
fularaka	fulara=ka
fulhureke	fulhure=ke
fuliyaha	fuliya=ha
fuliyaka	fuliya=ka
fungke	fu=ngke
fufempi	fu=fempi
funtaka	funta=ka
fusejehe	fuseje=he
fusejeke	fuseje=ke
fuseke	fuse=ke
gvlika	gvli=ka
gvwaliyaka	gvwaliya=ka
gadaraka	gadara=ka
gaisu	gai=su
gaji	gaji=
galaka	gala=ka
gama	gama=
gete	ge~te
gebsereke	gebsere=ke
gegese	gege~se
gegete	gege~te
geigereke	geigere=ke
genggereke	genggere=ke
gereke gerendere	gere=ke gere=ndere
getereke	getere=ke
gisaka	gisa=ka
giyangka	giya=ngka
giyoroko	giyoro=ko
gocika	goci=ka
gohoroko	gohoro=ko
goihoroko	goihoro=ko
gute	gu~te
gufute	gufu~te
gugureke	gugure=ke
gunireke	gunire=ke
guruke	guru=ke
guwengke	guwe=ngke
guwengke	guwe=ngke
hvmaraka	hvmara=ka
hafuka	hafu=ka
haksaha	haksa=ha
haksaka	haksa=ka
halgika	halgi=ka
hamika	hami=ka
hektereke	hektere=ke
hitereke	hitere=ke
hiyotoroko	hiyotoro=ko
hoilaka	hoila=ka
hojihose	hojihon~se
hojihosi	hojihon~si
hotoroko	hotoro=ko
hukxuke	hukxu=ke
iktaka	ikta=ka
ilaka	ila=ka
ilduka	ildu=ka
ilmereke	ilmere=ke
isika	isi=ka
jaksaka	jaksa=ka
jalaktalaka	jalaktala=ka
jalaka	jala=ka
jalapi	jala=pi
jalika	jali=ka
jeka	je=ka
jetere	je=tere
jibereke	jibere=ke
jilaka	jila=ka
jidere	ji=dere
joholika	joholi=ka
jongko	jo=ngko
jompi	jo=mpi
jo	jo=
juxeke	juxe=ke
juraka	jura=ka
jurapi	jura=pi
juwangka	juwa=ngka
juwampi	juwa=mpi
juyeke	juye=ke
kangtaraka	kangtara=ka
laifaraka	laifara=ka
lebdereke	lebdere=ke
lekdereke	lekdere=ke
lukdurernbike	lukdurernbi~ke
lusnke	lusn=ke
mafari	mafa~ri
mamari	mama~ri
mayaha	maya=ha
mayaka	maya=ka
mendereke	mendere=ke
menereke	menere=ke
meyete	meye~te
milaraka	milara=ka
mioxhoroko	mioxhoro=ko
mokcoko	mokco=ko
mukdeke	mukde=ke
mumanaka	mumana=ka
museke	muse=ke
naka	naka=
nakcuta	nakcu~ta
nakcuse	nakcu~se
naraka	nara=ka
nekcute	nekcu~te
ninggengge	ningge~ngge
nioroko	nioro=ko
nitaraka	nitara=ka
niyangniyaraka	niyangniyara=ka
niyasubika	niyasubi~ka
nota	non~ta
nukcike	nukci=ke
okete	oke~te
olhosu	olho=su
oso	o=so=
ojoro	o=jo=ro=
oroko	oro=ko
xahvraka	xahvra=ka
xaraka	xara=ka
xereke	xere=ke
saharaka	sahara=ka
sangka	sa=ngka
sampi	sa=mpi
sangsaraka	sangsara=ka
saraka	sara=ka
sebdeke	sebde=ke
senggete	sengge~te
sengseke	sengse=ke
sicaka	sica=ka
sidaraka	sidara=ka
soroko	soro=ko
sosorcoko	sosorco=ko
sosoroko	sosoro=ko
suksureke	suksure=ke
sumaka	suma=ka
sungke	su=ngke
sureke	sure=ke
suruke	suru=ke
tafaka	tafa=ka
takasu	taka=su
takdaka	takda=ka
talmaka	talma=ka
tekdeke	tekde=ke
tohoroko	tohoro=ko
tolgika	tolgi=ka
tomohotomotoha	tomo=hotomo=toha
toroko	toro=ko
tucike	tuci=ke
tuhebuke	tuhebu=ke
tuheke	tuhe=ke
tuleka	tule=ka
tulike	tuli=ke
ubaliyaka	ubaliya=ka
